post_id,comment_content,comment_like,comment_date,comment_time,sub_comment
151,不怕负债，怕败家领导,1,2025-02-25,18:48,1
151,安全啥，无知者无畏，190亿负债了，现金流快断了，全靠不断发债维持,1,2025-02-25,17:28,1
151,负债200亿是你哪只眼睛看到的？哈哈,1,2025-02-25,16:58,0
151,看看3季度资产负债表，负债总额190亿元了，你不懂财务不计较,1,2025-02-25,17:26,1
151,南京银行是永远不能抛的，不然收益会很难看，因为他把南银当做长期资产计算收益的,2,2025-02-25,16:56,0
151,鼠目寸光，当时地产高潮都不跑的最终啥下场？宁肯降利润，也要把190亿元债压下来,1,2025-02-25,17:30,1
152,进一退五，,0,2025-02-25,20:12,0
152,进一退五,0,2025-02-25,20:11,0
153,水泡股而已,0,2025-02-25,20:43,0
153,楼主吧龄不短任然有如此幼稚园式得见解不是更好笑吗？,0,2025-02-25,20:16,0
153,所以要远离基金！,0,2025-02-25,19:38,0
154,本来就是6～7元的股票，现在回归正常而已。借用一句话，7元都到了，6元还远吗？,0,2025-02-25,17:04,0
154,中肯的说是6元左右。,0,2025-02-25,21:01,1
154,今天下午收盘前30分钟却有大买单出来了。,0,2025-02-25,16:22,0
154,买入南高时机到了,0,2025-02-25,15:21,0
154,明天可补缺 了！又可截胡,0,2025-02-25,14:51,0
154,太好了，又能打折买，越低越不怕,0,2025-02-25,14:41,0
157,"奇了怪. 那条吊穷白忙呼不来碰瓷秀虚荣做陪练
曰十年八年才赚钱吹嘴皮子功舞上大刀呢
有人知道么?",0,2025-02-26,08:17,0
157,"白忙呼就一条如假包换的吊穷体力劳动工作者.
想卖虚荣找存在感的嘴皮功.",0,2025-02-25,17:57,0
157,俩人的逼名真丧气,0,2025-02-25,13:45,0
159,"若今天还不去快速填满缺囗. 仍顽强弱反弹去撑N下的.
都准备自己同自己相处时哭唧唧吧.
少b b左哼右杉杉",0,2025-02-26,08:20,0
159,苟富贵,0,2025-02-26,10:18,1
159,物急必返,0,2025-02-25,15:23,0
159,一群小孩,0,2025-02-25,15:20,0
159,这样得述说有点像搞传销给你叙述一个他希望你入套得光明前景，然后让你欲罢不能。呵。。。,1,2025-02-25,14:40,0
159,南高可长期持有，不惧波动。每年分红达5%以上，过两年创投开花结果，股价应在20元附近。坚定个信心做赖心资夲。,0,2025-02-25,14:14,0
159,看了下年K线图，如果14年买入并持有到现股价也涨了200%左右，这种股比较适合长期持，其股息率也比较高，好的分红的上市公司在A股并不多！,0,2025-02-25,15:07,1
159,都等10年了，以后银行地产双下行，你觉得可能吗？徐不退，越来越低,1,2025-02-25,14:23,1
159,是来搞笑的吗？,3,2025-02-25,13:31,0
159,有资金认可，200都不是问题,0,2025-02-25,13:27,0
159,到多少需要资金认可，靠嘴不行,0,2025-02-25,13:26,0
159,"真服.还曰十元二十块钱. 真心的惨.
都自己好好看看再去幻乐兴奋. 好麻?
南高还不去高速快速填满此缺囗. 真心表示很灰的股票了啦.
还有啊. 围绕三季左右的时侯. 尚乃另一个下面未填的大囗啊.
卖虚荣碰瓷白忙呼过足嘴头瘾就跑了.
最珍实还是. 少幻乐左哼右哼哼吧.不然百分百真心白忙呼.",0,2025-02-25,12:36,0
159,向下看2元与向上20元差不多难度。20元近十年没有可能。向下6元向上8元有希望2年内出现。,1,2025-02-25,12:01,0
159,三年后可能，年内，不用想,1,2025-02-25,11:54,0
159,哥，步子迈大了容易扯着淡，先看8，再看10行不行？,0,2025-02-25,11:48,0
159,呵。。。,0,2025-02-25,11:54,1
161,人家是托，你还真当真了,0,2025-02-25,14:43,0
161,天天喊着截胡的人跑了？,1,2025-02-25,13:33,0
161,"沾沾自喜粘白忙的那条笨鼠
有着多么的惨. 他自己怎不知道.
N十块钱喊到N十支骨. 被生硬硬截啦.
毫不晓玩股票一丁点市场素养都缺乏的人. 偏偏粘白忙学嘴卜卜飘
活该",0,2025-02-25,12:48,0
161,"呼叫白忙呼假牙.
如假包赔十的吊穷",0,2025-02-25,12:16,0
162,老家伙对科技不感冒，赶紧退吧,1,2025-02-25,14:25,0
162,"要问啥呢. 有用吗?
总是这么的智力的.
怎赚到钱啊.
打鸡血都无用.况且自欺欺人",1,2025-02-25,12:14,0
162,几个干会计的懂啥讠,1,2025-02-25,11:10,0
163,大股东自身都难保，还怎么管？,0,2025-02-25,10:56,0
165,没有吧友会重视楼主得建议交易，特别是GL508吧友，人家可是机械专业博士。呵。。。。,0,2025-02-26,11:01,0
166,688305科德不是吧友说的辣么垃圾。。。。,0,2025-02-25,10:12,0
