stock_code,date,avg_score,sentiment_std,positive_ratio,negative_ratio,avg_intensity,comment_count,sentiment_net
000002,2025-02-01,-0.09411771421631178,0.6978761981119183,0.4444444444444444,0.5555555555555556,0.6629308274222745,90,-0.11111111111111116
000002,2025-02-02,-0.06021409184952092,0.6961850874121963,0.4878048780487805,0.5121951219512195,0.6510253217889042,123,-0.024390243902439046
000002,2025-02-03,-0.27092348616137063,0.6737291385643758,0.34418604651162793,0.6558139534883721,0.6814983524035576,215,-0.3116279069767442
000002,2025-02-04,-0.17138817201737525,0.7120541118389654,0.39622641509433965,0.6037735849056604,0.6998771009615289,212,-0.2075471698113207
000002,2025-02-05,-0.16582788251733643,0.68017217433901,0.4165477888730385,0.5834522111269614,0.6590607412340127,701,-0.16690442225392293
000002,2025-02-06,-0.1266033429254606,0.6864576124066245,0.42524271844660194,0.574757281553398,0.6585946523159453,515,-0.14951456310679606
000002,2025-02-07,-0.014302263914421935,0.7045906462720387,0.4990138067061144,0.5009861932938856,0.6647564171201731,507,-0.0019723865877712132
000002,2025-02-08,-0.23451111371112612,0.6558128890640913,0.31088082901554404,0.689119170984456,0.6560056266505174,193,-0.37823834196891193
000002,2025-02-09,0.0023455621158502173,0.6856422476026242,0.5120481927710844,0.4879518072289157,0.6295823038791317,166,0.024096385542168697
000002,2025-02-10,-0.06772249383624081,0.6814535773569048,0.4676258992805755,0.5323741007194245,0.6371951782606917,556,-0.06474820143884896
000002,2025-02-11,-0.16639575527095404,0.6980506579580014,0.4081967213114754,0.5918032786885246,0.677175906715823,610,-0.18360655737704917
000002,2025-02-12,-0.04828439192420547,0.6931129949398532,0.48729792147806006,0.5127020785219399,0.6514447479472253,1732,-0.025404157043879882
000002,2025-02-13,-0.04594193352350618,0.6943591781610727,0.476592478894858,0.523407521105142,0.6514994017436746,1303,-0.046815042210283986
000002,2025-02-14,0.016366924672056516,0.7048358217164737,0.5230202578268877,0.47697974217311234,0.6642879763854801,543,0.046040515653775316
000002,2025-02-15,0.026383187563624233,0.6708101125442846,0.5390625,0.4609375,0.6155111651751213,128,0.078125
000002,2025-02-16,-0.02176179538170497,0.6667787725450993,0.5333333333333333,0.4666666666666667,0.6177929389256018,135,0.06666666666666665
000002,2025-02-17,-0.11901953334991748,0.698832811525439,0.432967032967033,0.567032967032967,0.667376474757771,455,-0.13406593406593403
000002,2025-02-18,-0.06453277564612744,0.6836810615752079,0.4935064935064935,0.5064935064935064,0.6390875357726731,539,-0.012987012987012936
000002,2025-02-19,0.010710715569490404,0.6853420196934605,0.5263157894736842,0.47368421052631576,0.641424327688455,456,0.05263157894736842
000002,2025-02-20,-0.11790365276091239,0.7088500714789961,0.43058823529411766,0.5694117647058824,0.6784667895909617,425,-0.13882352941176473
000002,2025-02-21,-0.05700496898679718,0.6992974818923051,0.48598130841121495,0.514018691588785,0.6551999994713198,642,-0.02803738317757004
000002,2025-02-22,-0.04755234740155957,0.6976320487542842,0.48717948717948717,0.5128205128205128,0.6549584482397351,273,-0.025641025641025605
000002,2025-02-23,-0.1283136175033894,0.673258536507986,0.425531914893617,0.574468085106383,0.6396478952721079,188,-0.148936170212766
000002,2025-02-24,-0.06235960171949909,0.684372766605382,0.47297297297297297,0.527027027027027,0.6416422515877426,518,-0.054054054054054
000002,2025-02-25,-0.11829096369800113,0.6761643482077918,0.41904761904761906,0.580952380952381,0.6452881765507517,315,-0.16190476190476194
000002,2025-02-26,-0.1429910518883661,0.6765908985663843,0.40585774058577406,0.5941422594142259,0.6382514735894224,239,-0.18828451882845187
000002,2025-02-27,-0.12268422501801979,0.7100926229805763,0.4296875,0.5703125,0.6860912976117106,256,-0.140625
000002,2025-02-28,-0.04112441984818513,0.6945205887196503,0.47443762781186094,0.5255623721881391,0.6524191502489317,489,-0.05112474437627812
000069,2025-02-01,-0.09652849765760559,0.7071626941572938,0.5714285714285714,0.42857142857142855,0.6196218787559441,7,0.14285714285714285
000069,2025-02-02,0.003302494684855143,0.4835622513524181,0.5,0.5,0.4182299127181371,6,0.0
000069,2025-02-03,-0.02899837903678417,0.8327191550098115,0.5,0.5,0.7849493976682425,10,0.0
000069,2025-02-04,-0.5820856643840671,0.47572696696692396,0.25,0.75,0.6433836771175265,4,-0.5
000069,2025-02-05,-0.31748972160200917,0.607916086017019,0.2903225806451613,0.7096774193548387,0.6314941913850846,31,-0.41935483870967744
000069,2025-02-06,-0.4971843200143088,0.5132083004066421,0.18181818181818182,0.8181818181818182,0.6601748741655187,44,-0.6363636363636365
000069,2025-02-07,-0.027962677566141913,0.7671340880112377,0.4827586206896552,0.5172413793103449,0.7170483034489483,29,-0.03448275862068967
000069,2025-02-08,-0.8105350583791733,0.0,0.0,1.0,0.8105350583791733,1,-1.0
000069,2025-02-09,0.08990381658077239,0.6629277819366496,0.75,0.25,0.5241040587425232,4,0.5
000069,2025-02-10,0.1409915575514669,0.650399689472502,0.5652173913043478,0.43478260869565216,0.6235523429577765,46,0.13043478260869562
000069,2025-02-11,-0.42795322076329645,0.6105673354062724,0.22641509433962265,0.7735849056603774,0.7104323887318935,53,-0.5471698113207548
000069,2025-02-12,0.008061127020762516,0.6904772774203553,0.5384615384615384,0.46153846153846156,0.6461620941758156,65,0.07692307692307687
000069,2025-02-13,0.18339480800288063,0.6242983113276462,0.6571428571428571,0.34285714285714286,0.5932612210512161,35,0.3142857142857143
000069,2025-02-14,-0.165692519210279,0.6781441557294628,0.375,0.625,0.6571248391643166,40,-0.25
