post_id,comment_content,comment_like,comment_date,comment_time,sub_comment
162,这哪抗跌了，明明是板块领跌，而且这年后就根本没反弹，大盘回调下还拼命跌，拿着是倒八辈子霉,1,2025-03-01,07:21,0
162,这个啤酒不行，今天青岛和燕京都是红的！,1,2025-02-28,21:51,0
162,我去看看。,0,2025-02-28,22:32,1
162,卧龙走了吗？,0,2025-02-28,21:31,0
162,走了就好，利润回吐点，股市里赚钱机会多的是,0,2025-02-28,22:01,1
162,走了，今天走的，憋死我了。,0,2025-02-28,21:33,1
162,你走啦,0,2025-02-28,20:47,0
162,下周回撤在今天这样，也走,0,2025-02-28,21:48,1
162,这次卧龙恶心坏了。,0,2025-02-28,21:26,1
167,感觉卖出是解脱，不是深套，我老早扔了这烂股,1,2025-03-01,07:22,0
168,$国联水产(300094)$求是杂志刊登： 强调内需，周一消费高开高走！,0,2025-02-28,15:12,0
168,那也轮不上这货，这是外资，内需是燕京和青啤，,0,2025-03-01,07:24,1
170,lj,0,2025-02-28,15:18,0
175,很多人减仓了吧。 怕呀。 大盘下跌厉害。,0,2025-02-28,14:58,0
175,今天还不满意啊,1,2025-02-28,14:46,0
176,看周线、月线、年线，这彻底地跑输,1,2025-03-01,07:33,0
177,哈哈,0,2025-02-28,13:42,0
178,这就叫极限拉扯,0,2025-02-28,19:40,0
178,继续持仓等待,0,2025-02-28,11:27,0
178,观望它的时候，还一上一下。买入它后就天天垫底。,0,2025-02-28,11:17,0
179,,0,2025-02-28,11:04,0
181,天天倒数第一,0,2025-02-28,10:43,0
183,因为是外资控股。要转变这种情况，还得等大环境改变,1,2025-02-28,10:20,0
183,外资企业应该保护啊,0,2025-02-28,19:41,1
183,其实还好，趋势向上就行，看看外面的多数人都亏的很惨,1,2025-02-28,10:14,0
183,弃儿,1,2025-02-28,10:08,0
187,让看空的在低位换手未尝不是一件好事，这样后面拉上去才阻力小,0,2025-02-28,09:55,0
189,别吹多了，看这走势是很难起来了，,1,2025-02-28,09:53,0
189,好事儿将近,1,2025-02-27,21:16,0
190,茅台都2%了 这个是真的垃,0,2025-02-27,13:33,0
190,去蓝筹了啊 白酒起来老窖 啤酒去了燕京,0,2025-02-27,13:26,0
191,感觉资金从科技往消费挪了，还要走啊，今天走势比大盘强太多了，应该是资金流入消费股了,0,2025-02-27,13:45,0
191,成本 58.5,0,2025-02-27,13:28,0
191,72 我是一路补 58.5 没钱补不动了,0,2025-03-03,09:05,1
191,我65,0,2025-02-27,13:30,1
193,不，是毒酒,0,2025-02-28,09:58,0
195,弱者恒弱,0,2025-02-27,11:32,0
197,是的 啥都不跟 就是一堆跌跌不休 然后公司拿着35亿资金去固收理财 也不做市值管理 真的是拿重啤当钱袋子了 把嘉士伯股价做上去了,0,2025-02-27,12:01,0
198,地板下面还有地下室,0,2025-02-27,12:51,0
199,这么高的分红已经很不错了,0,2025-02-28,07:29,0
199,分红就是对控股且不减持的嘉士伯有利，对时间、资金成本耗不起的我们小散有啥意义，分的是自己的钱，而且卖出还要缴税,0,2025-02-28,09:57,1
199,公司也不能给你变魔术把钱变出来，每年高分红已经是最大的诚意了,0,2025-02-27,10:26,0
199,起飞的场景,0,2025-02-28,14:55,1
199,如果把分红的钱用来回购注销，你想想啥场景,0,2025-02-28,13:57,1
200,嘉士伯这个公司太无良了,0,2025-02-27,10:10,0
