stock_code,board_code,industry,correlation,beta
000002,801180,房地产,0.7714297605758029,1.6407825349006715
000069,801180,房地产,0.920959255470861,1.2375629574100315
000538,801150,医药生物,0.44265823618931466,0.28726549516364536
000568,801120,食品饮料,0.8514004380170143,1.6272145595619916
000630,801050,有色金属,0.816760418824125,0.9665731031370359
000725,801080,电子,0.5112884781294447,0.24477850413750651
000858,801120,食品饮料,0.9189622088859195,1.2699373332472255
000878,801050,有色金属,0.8716847477649097,1.2968175724085391
000895,801120,食品饮料,0.26403341390560764,0.34397343634501604
000933,801050,有色金属,0.4726050140933002,0.8792402441772421
000960,801050,有色金属,0.7332925445497666,1.053969000404116
000977,801750,计算机,0.6853843733305023,1.1429746953545297
001979,801180,房地产,0.8326489588859896,0.9190483420438625
002049,801080,电子,0.8766186524929784,1.0143209432171783
002074,801730,电气设备,0.7372447830723892,0.7233377214695429
002129,801730,电气设备,0.8169860754170775,1.2870868146825163
002138,801080,电子,0.7874179264778026,0.887658864706101
002230,801750,计算机,0.5767770170208295,0.6243283998097033
002304,801120,食品饮料,0.6907261473515275,0.7320625591009527
002340,801050,有色金属,0.4772974928689588,0.7258919290145933
002371,801080,电子,0.754591801673638,0.9707962309440541
002410,801750,计算机,0.7961916829595653,0.8935228738497129
002415,801750,计算机,0.5121892206544408,0.3426559951800877
002439,801750,计算机,0.780141155140642,1.1471738152154165
002460,801050,有色金属,0.33258930841856144,0.7854234772333417
002463,801080,电子,0.47441497351802714,0.8362888022034881
002466,801050,有色金属,0.27385520630313664,0.7170779594404619
002475,801080,电子,0.6871799994148782,0.7059542619492903
002507,801120,食品饮料,0.7545738101800178,0.7824778695687057
002568,801120,食品饮料,0.5809414427079036,1.5548026297240591
002594,801730,电气设备,0.6837873441404497,1.6992198288694897
300014,801730,电气设备,0.7014857062027418,1.1272982106950442
300015,801150,医药生物,0.8327423775250499,1.5557296198164272
300035,801730,电气设备,0.23654551614930505,0.37825874020135675
300059,801750,计算机,0.8656772860508058,0.7305638057611459
300122,801150,医药生物,0.8494132912872057,1.4793600744919018
300146,801120,食品饮料,0.697265896203961,0.9711055680426682
300223,801080,电子,0.5751510834559013,1.343591218091669
300253,801750,计算机,0.6177490646286142,1.874343968842984
300274,801730,电气设备,0.6064080175243952,0.9325183227586668
300308,801080,电子,0.5256777529537437,1.1793029524882426
300347,801150,医药生物,0.8986036513420954,2.6182909062607496
300433,801080,电子,0.8201481270074225,1.0812039378535696
300454,801750,计算机,0.7635219566254576,2.0925486723431495
300496,801750,计算机,0.7226111458461805,1.059288784340458
300595,801150,医药生物,0.8904285334423651,1.4124594310425418
300601,801150,医药生物,0.8950482198404983,1.4159049447739844
300750,801730,电气设备,0.6680496001116877,0.8772905894052828
300760,801150,医药生物,0.6518686435354444,0.8792275934638573
300782,801080,电子,0.7305882474972233,1.6060186741528173
600000,801780,银行,0.7121382444137018,1.10219259508695
600007,801180,房地产,0.22814198988117626,0.21163837206219904
600016,801780,银行,0.5093525209168388,0.45647009357896534
600036,801780,银行,0.8169125858640595,1.1558178518245898
600048,801180,房地产,0.8658840360818955,0.9572780968020335
600064,801180,房地产,0.7536072618573372,0.4780734914667671
600085,801150,医药生物,0.5727838433397855,0.438717198616803
600089,801730,电气设备,0.7561042556836916,0.6389190262973375
600111,801050,有色金属,0.4441303905295431,1.0885349942580818
600132,801120,食品饮料,0.266392419862145,0.31410374029354793
600196,801150,医药生物,0.7862281841106713,0.8710694711918249
600219,801050,有色金属,0.5586368344822815,0.6147753979828746
600276,801150,医药生物,0.7069871048968693,1.0593874571592308
600325,801180,房地产,0.8297141896293653,0.8376369014612097
600340,801180,房地产,0.7107276611444854,1.8587995105546566
600362,801050,有色金属,0.8583890015187468,1.1122319978613635
600383,801180,房地产,0.8656826963613949,1.4292139539916082
600392,801050,有色金属,0.6511577902594109,1.2573967442399583
600436,801150,医药生物,0.38120865806671755,0.2735112634662255
600438,801730,电气设备,0.7588943533296527,1.6809154415130967
600519,801120,食品饮料,0.783669927739079,0.9693331885981445
600536,801750,计算机,0.6403135918722761,0.7865971500372133
600549,801050,有色金属,0.7594848298735227,1.1084054148738347
600570,801750,计算机,0.8562049911221596,1.3603142003332689
600588,801750,计算机,0.4771346479834183,0.9010573660602899
600600,801120,食品饮料,0.6862811335324704,0.9651342210733594
600606,801180,房地产,0.9251820143173101,1.3563158048343282
600665,801180,房地产,0.32580246264558704,0.7082285881733036
600745,801080,电子,0.826110456731883,0.9184402471298088
600763,801150,医药生物,0.879191292845333,1.6195858940466474
600872,801120,食品饮料,0.6867364283290173,0.8668445422454709
600887,801120,食品饮料,0.6534460258424839,0.996756198301237
601009,801780,银行,0.7549460171577262,0.7180073765518805
601012,801730,电气设备,0.8240210489025782,1.4732174915376584
601077,801780,银行,0.7607540265277007,1.191565575341328
601166,801780,银行,0.7116851153313166,1.1516987244310752
601169,801780,银行,0.8500904719446694,0.9879047138176485
601187,801780,银行,0.6672601776038098,0.9440984180471913
601288,801780,银行,0.7347931164334398,1.0285162776869974
601328,801780,银行,0.8241335488358646,0.9316558477281219
601398,801780,银行,0.7889253790578117,1.2779339142758575
601818,801780,银行,0.6906282154281773,0.8873778755518046
601877,801730,电气设备,0.4676001900378714,0.9514882257671401
601899,801050,有色金属,0.7188988015435376,1.2411501635919635
601916,801780,银行,0.455558472169635,0.23936046320249937
601939,801780,银行,0.7213512966126169,1.244069281943072
601988,801780,银行,0.7069291321097967,1.1482401518759326
603019,801750,计算机,0.722968042472692,0.9083149367322945
603160,801080,电子,0.8771181610048709,0.9009896412223541
603259,801150,医药生物,0.6759284049233599,1.7110596756601149
603288,801120,食品饮料,0.7458293304817947,0.8976909373903139
603369,801120,食品饮料,0.47374584871250375,0.9937856699953728
603501,801080,电子,0.48582190864941344,0.9117055304953533
603517,801120,食品饮料,0.49348091601531846,1.0094819071995178
603707,801150,医药生物,0.4481084056794862,0.5761398743862682
603799,801050,有色金属,0.17860724146611487,0.3595942181909402
603882,801150,医药生物,0.7859898066191602,3.3714034976396583
603883,801150,医药生物,0.630777359016329,0.8309212857079266
603986,801080,电子,0.5992402466045047,0.938016811847304
603993,801050,有色金属,0.8096210100169324,1.2608966667021435
688111,801750,计算机,0.23751781801880875,0.42063002540395206
