post_id,comment_content,comment_like,comment_date,comment_time,sub_comment
66,放心拿好,0,2025-03-02,09:30,0
67,真能忽悠啊,1,2025-03-02,20:21,0
67,卖给经销商就算实现销售，不知最终购买者的热情有多高,1,2025-03-02,17:00,0
67,大跌开始,0,2025-03-01,18:49,0
67,先存，后炒，经销商的套路,0,2025-03-01,17:56,0
67,销售完就行,0,2025-03-01,17:55,0
67,买家都有谁呢,0,2025-03-01,10:49,0
67,经销商,0,2025-03-01,12:46,1
67,卖了就出利好,0,2025-02-28,17:19,0
69,等着吧,0,2025-03-02,09:30,0
74,有做空也不耽误他涨,1,2025-02-28,10:13,0
74,图片评论,1,2025-02-28,10:18,1
75,们在砸盘！,0,2025-02-28,10:31,0
76,靠 割了 下周再战,0,2025-02-28,14:18,0
76,板块都快两个点了，你看看这坨垃圾，还敢加仓？,0,2025-02-28,10:17,0
76,先埋伏试错不涨大不了出了,0,2025-02-28,10:33,1
77,"百润回本没问题，但是这票做长线！
我持仓200手，最低也需要拿到2025年底！",1,2025-02-28,10:33,0
77,对的百润是酒类饮料板块很强的存在之一，未来会在不知不觉中，慢慢走高，如果做T，不知道哪次就做飞了。,1,2025-03-01,17:34,1
77,我28.5.........,1,2025-02-28,09:48,0
77,别急，我35.40都没说话，,1,2025-02-28,11:28,1
77,多少钱的本说出来让我平衡一下？,0,2025-02-28,09:43,0
79,做梦呢哈哈哈,0,2025-02-28,07:28,0
79,狗托,0,2025-02-28,07:17,0
81,我的成本也56，满仓,0,2025-02-27,19:51,0
81,我的成本51,0,2025-02-28,10:19,1
82,我满仓了,1,2025-02-27,20:21,0
84,今天都在涨了，突破前高继续持有，卖什么？,0,2025-02-27,12:26,0
84,他卖了，一跌我就加仓。多卖多卖，我好加仓,0,2025-02-27,16:47,1
84,说的对,0,2025-02-27,13:55,1
87,活活把人气F,1,2025-02-27,11:45,0
88,坚定持有,0,2025-02-27,12:26,0
88,真的吗,0,2025-02-27,10:25,0
89,赶快跑吧,0,2025-02-27,10:03,0
89,看个鸡，这个就是一坨垃圾它会涨？,0,2025-02-27,10:00,0
91,解套又套 反反复复 太磨人了,0,2025-02-26,15:51,0
95,股票是否强势关键在主力，票是好票,0,2025-02-26,10:53,0
95,第一大垃圾,0,2025-02-26,10:09,0
95,希望如你说的，我打算买入一些底仓,0,2025-02-26,10:01,0
95,听我说完兄弟，天下第一垃圾,0,2025-02-26,10:05,1
98,套了五个点，全仓,0,2025-02-25,23:55,0
99,狗托,0,2025-02-25,22:01,0
99,这么拉几你也敢说好，不是坑人的吗,0,2025-02-25,20:04,0
100,解套走人，酒是没戏了,0,2025-02-25,22:00,0
100,嗯，好的,0,2025-02-25,23:23,1
100,5个点还好吧，如果不是满仓，建议等两会之后再决定！,0,2025-02-25,21:48,0
100,跑 指数下行了,0,2025-02-25,15:03,0
100,谢谢谢谢,0,2025-02-25,15:07,1
101,到目前已经持这股639天了……,0,2025-02-25,14:04,0
101,我成本25.74,0,2025-02-25,15:22,1
101,有时间有能力就做T吧，我补仓加做T现在成本19.32，几次过28没有卖，最近几天还T反了……,0,2025-02-25,15:19,1
101,套四个点,0,2025-02-25,14:02,0
107,这种股票就不要观察了，根本就不是主线，后排都算不上。,0,2025-02-24,22:56,0
107,你说的太对了！,0,2025-02-25,06:43,1
110,祝，就是一个托，还说洗盘呢,0,2025-02-25,12:30,0
110,这种股票没有资金关注买入的，根本就不是这次结构牛中的主流品种。被资金边缘化了。,0,2025-02-24,22:57,0
110,做你熟悉的股票，从不追所谓的概念，敬畏市场，赚你认知的钱。,0,2025-02-25,10:32,1
110,今天暗盘资金净流出1600万,1,2025-02-24,15:46,0
110,今天不可能是洗盘吧,0,2025-02-24,14:43,0
110,有可能，这成交量，主力应该没动啥，感觉明上午下探后会有上升。,0,2025-02-24,15:13,1
111,有一个双底W结构，快起来了吧,0,2025-02-24,19:25,0
119,还不知足咋咋呼呼的个礼拜三到现在涨了8个点你还想怎么样,0,2025-02-24,10:27,0
119,板块里跌幅第一！真币的牛！,1,2025-02-24,10:21,0
119,这股经常这么做，习惯就好....,1,2025-02-24,10:24,1
119,主力没有用，要去咨询董事长,1,2025-02-24,10:20,0
128,今年到不了,0,2025-02-24,11:53,0
128,真能涨到33，拿到年底又如何？,0,2025-02-23,19:55,0
128,肯定到不了，估计要4月吧,0,2025-02-23,13:58,0
129,图片评论,1,2025-02-22,18:12,0
130,管理层浪费了2年时间,0,2025-02-21,15:35,0
132,快回来 下周起飞了,0,2025-02-21,14:52,0
132,回来,0,2025-02-21,14:39,0
133,这票回本还得赚钱！但是需要时间，最早也得看下半年的经济情况！我也有150手！就做长线了！,0,2025-02-21,16:55,0
133,放心吧，迟到也比没有强。后劲大着呢,0,2025-02-21,13:36,0
135,嘘,0,2025-02-21,16:56,0
139,威士忌招商处处碰壁，还吹呢,1,2025-02-21,11:27,0
